cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400930119839,L THYROXIN HNG 175 MICROG CPR 100,426581.54000000004,4060,23567443841.33,96.4295030834937
3400930188378,METRONIDAZOLE ARW 500 MG CPR 4,426443.09,4061,23567870284.420002,96.43124793522811
3400930852446,PONSTYL 250MG GELULE 20,425642.76,4062,23568295927.18,96.43298951230003
3400936266162,CETIRIZINE EG 10MG CPR 15,425433.86,4063,23568721361.04,96.43473023462829
3400930023884,ARIPIPRAZOLE ZEN 5 MG CPR 28,425414.96,4064,23569146776,96.43647087962455
3400930578971,"SODIUM CHL LAV 0,9% SOL INJ FV 250ML 1",425143.05,4065,23569571919.05,96.4382104120629
3400927798559,DILTIAZEM VIATRIS LP 300MG GELULE 90,424702.8,4066,23569996621.85,96.4399481431566
3400930164174,DASATINIB SDZ 20 MG CPR 60,424662.72,4067,23570421284.57,96.44168571025736
3400949460564,VALACICLOVIR ZYD 500MG CPR 42,424515.52,4068,23570845800.09,96.44342267506867
3400930102275,DULOXETINE SDZ 30 MG GELULE 28,424043,4069,23571269843.09,96.4451577064981
3400930155141,IVERMECTINE ARL 3MG CPR 4,424013.56,4070,23571693856.65,96.44689261746964
3400930217481,"BACTRIM 40 MG/ML + 8 MG/ML, SUSP BUV 1",423781.92,4071,23572117638.57,96.44862658065362
3400930027271,EMERADE 300 MCG SOL INJ STYLO 2,423711.38,4072,23572541349.95,96.4503602552133
3400937817882,EXFORGE 5MG/160MG CPR 30,423348.79000000004,4073,23572964698.74,96.4520924461851
3400937765633,GLIBENCLAMIDE VIATRIS 5MG CPR 90,423094.64,4074,23573387793.38,96.45382359726653
3400930186367,SAWIS 2MG CPR 28,423009.66,4075,23573810803.04,96.45555440064038
3400936238428,OFLOXACINE ARW 200MG CPR 10,422864.45,4076,23574233667.49,96.45728460986713
3400939339047,"RISPERIDONE TVC 0,5MG CPR DISP 28",422713.69,4077,23574656381.18,96.45901420223818
3400936868540,NICOTINELL 2MG CPR MENT SS SUCRE 96,422671.53,4078,23575079052.71,96.46074362210568
3400930124604,ATORVASTATINE ZEN 80MG CPR 90,422483.86,4079,23575501536.57,96.46247227409505
3400949763245,OMEPRAZOLE ALM 20MG GELULE 28,422087.5,4080,23575923624.07,96.46419930432187
3400933503734,ROWASA 500MG SUPPO 30,422071.61,4081,23576345695.68,96.46592626953252
3400933604721,MEGACE 160MG CPR 30,422044.52999999997,4082,23576767740.21,96.46765312394155
3400930017401,ARIPIPRAZOLE TVC 15MG CPR 28,422016.11,4083,23577189756.32,96.46937986206616
3400936658752,"COVERSYL 2,5MG CPR 30",422003.31,4084,23577611759.63,96.47110654781778
3400935740328,PREDNISOLONE EG 20MG CPR EFF 20,421658.1,4085,23578033417.73,96.47283182109425
3400937124164,LERCAN 10MG CPR 30,421383.5,4086,23578454801.23,96.47455597080629
3400930188187,SOLIFENACINE TVC 5MG CPR 30,420994.45,4087,23578875795.68,96.47627852866567
3400937482363,TRANDATE 200 MG CPR 180,420991.06,4088,23579296786.74,96.4780010726544
3400930136379,AMLODIPINE/VALSART SDZ 5MG/160MG 30,420799.42,4089,23579717586.16,96.47972283252116
3400936660304,COVERSYL 10MG CPR 30,420450.91,4090,23580138037.07,96.48144316641037
3400933091002,ULTRAVIST 37 G SOL INJ 1,420427.79,4091,23580558464.86,96.48316340570086
3400930250518,"JORVEZA 0,5 MG CPR ORO 90",420179.64,4092,23580978644.5,96.4848826296508
3400930008386,AMIODARONE BGA 200MG CPR 30,420172.79,4093,23581398817.29,96.48660182557302
3400941595363,CANDESARTAN VTS 32 MG CPR 30,419665.7,4094,23581818482.99,96.48831894666536
3400936162044,ZOPHREN 8MG CPR 4,419641.41000000003,4095,23582238124.4,96.49003596837173
3400931552819,SOLUMEDROL 120 MG PDR ET SOL INJ 1,419292,4096,23582657416.4,96.49175156041808
