cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400930254998,METOTAB 10 MG CPR 10,5209.95,705,7.39
3400937224499,PERMIXON 160MG GELULE 180,5224.2,199,26.252261306532663
3400930129791,"INHIXA 8000UI AXA/0,8ML INJ SER 2",5269.75,578,9.117214532871973
3400938732146,AMLODIPINE ARG 5MG GELULE 90,5277.95,633,8.337993680884676
3400930028643,"ALMOTRIPTAN ZEN 12,5MG CPR 6",5295.5999999999995,1142,4.637127845884413
3400936773295,"SODIUM CHL BLZ 0,9% SOL INJ PO 500ML 1",5321.93,1850,2.876718918918919
3400921790030,"ZOLMITRIPTAN EG 2,5MG CPR 6",5344.1,1160,4.60698275862069
3400930009567,QUETIAPINE KRK LP 300 MG CPR 60,5353.39,178,30.075224719101126
3400930045695,QUETIAPINE SUN LP 400MG CPR 30,5358.38,240,22.326583333333335
3400922459127,"IFIRMACOMBI 150/12,5 MG CPR 30",5366.82,1757,3.0545361411496867
3400926644024,"REPAGLINIDE KRKA 0,5 MG CPR 90",5420.44,875,6.194788571428571
3400930233184,MIDAZOLAM ACC 5 MG INJ AMP 10,5423.17,387,14.013359173126615
3400949751877,"ZOLMITRIPTAN ARG 2,5 MG CPR 6",5424.99,1200,4.520824999999999
3400927585111,ATORVASTATINE VTS 40MG CPR 90,5428.83,489,11.101901840490797
3400930040119,PREGABALINE ACC 25 MG GELULE 84,5434.44,990,5.489333333333333
3400921838329,RABEPRAZOLE ZEN 20MG CPR 28,5435.85,1482,3.6679149797570854
3400922415291,ZALASTA 5MG CPR DISP 28,5439.4,328,16.583536585365852
3400936124714,BISOPROLOL BGA 10MG CPR PELL 30,5479.34,1382,3.9647901591895804
3400926775346,IFIRMASTA 75MG CPR PELL 30,5521.45,1730,3.1915895953757225
3400926688318,VALSARTAN ARL 80MG CPR 90,5530.91,663,8.342247360482654
3400936430983,CIPROFLOXACINE ZYD 250MG CPR 12,5534.74,1150,4.812817391304348
3400934083686,OPTIJECT 300 SOL INJ SER + P 100ML 1,5545.49,222,24.979684684684685
3400926803124,LEVETIRACETAM ARW SOL BUV150ML+S3ML 1,5567.86,337,16.521839762611275
3400935295927,"BISOPROLOL BGR 3,75MG CPR 30",5573.57,1426,3.9085343618513324
3400949500604,ZARZIO 48 MUI SOL INJ SER ADP BB FAR 1,5579.73,57,97.88999999999999
3400933010966,"FRAGMINE 2 500UI AXA/0,2ML SOL INJ 2",5592.17,1281,4.365472287275566
3400938673661,FOSINOPRIL ZEN 20MG CPR 30,5600.37,1806,3.1009800664451825
3400930063910,MONTELUKAST BGR 5 MG CPR CROQ 28,5600.78,873,6.415555555555556
3400921783056,"IRBESARTAN HCTZ MYP 300/12,5MG CPR 90",5601.61,678,8.261961651917403
3400938867022,SIMVASTATINE AHL 40MG CPR 84,5604.67,613,9.143017944535073
3400930124147,ENALAPRIL/LER KRK 20MG/10MG CPR 30,5623.16,1136,4.9499647887323945
3400930164631,DARUNAVIR KRK 600MG CPR 60,5632.660000000001,23,244.89826086956526
3400930108512,EZETIMIBE/SIMVAST SUN 10MG/40MG CPR 90,5638.87,152,37.09782894736842
3400921722314,"LATANOPROST BGA 0,005% COLLYRE 1",5648.55,1221,4.626167076167076
3400941739446,ATORVASTATINE ALT 10MG CPR 90,5711.91,571,10.003345008756567
3400933467913,NICOTINELL TTS 14 MG/24H DISP TRANSD 7,5729.99,1376,4.164236918604651
3400922412689,"OPRYMEA 0,18MG CPR 30",5733.4,1488,3.8530913978494623
3400922448930,VALSARTAN KRK 80MG CPR 30,5742.09,1983,2.895658093797277
3400937629867,PRAVASTATINE ALT 20MG CPR 28,5744.87,1669,3.442103055721989
3400949009992,SYMBICORT TURB 400/12 MICROG AIP 1,5755.1500000000005,322,17.873136645962735
3400937471947,GLIMEPIRIDE EG 1MG CPR 90,5763.44,872,6.609449541284404
3400930217900,"IMENOR 2,5 MG CPR 24",5784.03,1384,4.179212427745664
3400930261187,SITAGLIPTINE /MET ALT 50/1000MG CPR 60,5784.27,673,8.594754829123328
3400934052750,ZOLTUM 10 MG GELULE 30,5790.24,1723,3.3605571677307022
3400927384318,IRBESARTAN ACC 300MG CPR PELL 30,5807.51,1752,3.3147888127853884
3400949013265,PERMIXON 160MG GELULE (AIP) (BBF) 180,5819.3,302,19.269205298013247
3400921969412,"BISOPROLOL HCTZ CRT 2,5/6,25 CPR 90",5825.42,670,8.69465671641791
3400927808708,ESCITALOPRAM KRK 15MG CPR 28,5827.29,1604,3.6329738154613467
3400930067758,VAXIGRIPTETRA SUSP INJ SER 0.5ML A/A 1,5828.38,693,8.41036075036075
3400949004683,LIPTRUZET 10 MG/20MG CPR (AIP)(BBF) 30,5835.96,235,24.833872340425533
